x                        y
1.635672571667463604e-01,1.277066171362725155e-01
4.408436222975153918e-03,1.274499269188186235e-01
7.630044665851638541e-01,7.239439941096067477e-01
8.341155654798294572e-01,8.115670573189885939e-01
9.714267268072916961e-01,7.931569550094713650e-01
6.463949752344952948e-01,5.295009159811986388e-01
5.803863230330739142e-01,4.813312898383244054e-01
3.639734521113006105e-01,2.129766261710371311e-01
6.860152220529140976e-01,6.484762536625264806e-01
8.030818765768948930e-01,8.914049111878245002e-01
